	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA	ADX
44	1617681600000.0	58610.19	58894.05	58601.87	58794.93	1716.387852	2021-04-06 04:00:00	58765.648765917234	58340.7036	-132.9588706211216	-76.87344840366059	-56.085422217461016	424.9451659172337	27.043752317788126
45	1617685200000.0	58794.94	59031.66	58755.56	58867.32	1359.193267	2021-04-06 05:00:00	58816.48438295862	58403.99680000001	-130.8750158404291	-80.52741486864771	-50.347600971781404	412.487582958609	26.53263887491295
46	1617688800000.0	58867.31	58969.01	58618.0	58843.53	1690.611394	2021-04-06 06:00:00	58830.0071914793	58481.84	-127.63940876826382	-83.7052011472608	-43.934207621003026	348.16719147930417	25.375388678276572
47	1617692400000.0	58843.52	58928.23	58349.0	58576.59	2311.422694	2021-04-06 07:00:00	58703.29859573965	58539.16	-116.44977176648536	-85.90741477295875	-30.54235699352661	164.13859573964874	23.65513108693842
48	1617696000000.0	58576.59	59000.0	58300.0	58487.37	3332.731056	2021-04-06 08:00:00	58595.33429786982	58588.654800000004	-103.6988131920225	-87.10069564067922	-16.59811755134328	6.6794978698162595	21.872371057624978
49	1617699600000.0	58487.38	58747.74	58419.75	58685.53	1787.072226	2021-04-06 09:00:00	58640.43214893491	58650.10600000001	-98.0219715286803	-87.83132642271956	-10.19064510596074	-9.673851065097551	20.235168208532993
50	1617703200000.0	58681.85	58752.93	58333.02	58365.0	2565.717795	2021-04-06 10:00:00	58502.71607446746	58683.14	-83.30273658936494	-87.52908526322337	4.226348673858425	-180.4239255325374	19.0084134607721
51	1617706800000.0	58365.0	58720.0	58325.08	58541.34	2278.841791	2021-04-06 11:00:00	58522.02803723373	58718.0344	-75.48236021702905	-86.72686323911272	11.244503022083663	-196.00636276626756	17.91204373093098
52	1617710400000.0	58541.34	58998.0	58442.89	58471.92	3288.81116	2021-04-06 12:00:00	58496.974018616864	58746.6568	-66.37350485352363	-85.3742898975471	19.000785044023473	-249.68278138313326	17.30838380567965
53	1617714000000.0	58471.93	58677.91	58342.0	58414.29	2445.677696	2021-04-06 13:00:00	58455.63200930843	58764.8592	-56.56873540081142	-83.46373310804736	26.894997707235945	-309.2271906915703	16.313491699461846
54	1617717600000.0	58414.29	58414.3	57413.02	57949.27	6536.601449	2021-04-06 14:00:00	58202.45100465421	58758.3076	-34.24346884506667	-80.20504832655358	45.96157948148691	-555.8565953457874	17.322707802070536
55	1617721200000.0	57949.27	58085.4	57622.0	57818.53	2531.959922	2021-04-06 15:00:00	58010.490502327106	58704.221600000004	-11.278060105752957	-75.64935625846266	64.3712961527097	-693.7310976728986	18.253385593522527
56	1617724800000.0	57818.54	58188.88	57722.23	58077.51	2469.880874	2021-04-06 16:00:00	58044.000251163554	58666.5904	0.5771465030993568	-70.61914605500355	71.19629255810291	-622.590148836447	18.71901556892774
57	1617728400000.0	58077.51	58271.66	58000.0	58247.17	1774.688867	2021-04-06 17:00:00	58145.585125581776	58637.1368	5.583551560732303	-65.59790894990488	71.18146051063718	-491.55167441822414	18.832373523411494
58	1617732000000.0	58247.17	58267.45	57996.01	58238.78	1505.797414	2021-04-06 18:00:00	58192.182562790884	58608.50399999999	10.037568430918327	-60.62090131279056	70.65846974370888	-416.3214372091097	18.94756727870478
59	1617735600000.0	58238.78	58282.12	57996.0	58225.0	1655.440463	2021-04-06 19:00:00	58208.59128139544	58582.452399999995	14.157706233054341	-55.70659978345155	69.86430601650589	-373.86111860455276	18.991870501048997
60	1617739200000.0	58225.01	58311.91	57999.99	58211.84	1503.21866	2021-04-06 20:00:00	58210.215640697716	58550.718	17.952372833373374	-50.87168944027177	68.82406227364515	-340.5023593022852	18.89945178971623
61	1617742800000.0	58211.85	58225.95	57555.0	57860.63	1961.883403	2021-04-06 21:00:00	58035.42282034886	58514.3188	31.544997528508247	-45.467998720559	77.01299624906724	-478.8959796511408	19.98467498025954
62	1617746400000.0	57860.63	58040.34	57483.71	57887.24	1660.671452	2021-04-06 22:00:00	57961.33141017443	58483.24679999999	42.06556916208501	-39.73483335831237	81.80040252039738	-521.9153898255609	21.14898936586111
63	1617750000000.0	57887.24	58163.0	57832.34	57991.15	1425.156156	2021-04-06 23:00:00	57976.24070508721	58447.80560000001	47.603474047689815	-34.02006102591115	81.62353507360096	-471.56489491279353	21.65254225910668
64	1617753600000.0	57990.03	58200.01	57500.53	57639.29	2427.973637	2021-04-07 00:00:00	57807.7653525436	58388.177599999995	62.56086390475684	-27.706306577447798	90.26717048220465	-580.4122474563919	22.84718891193543
65	1617757200000.0	57639.29	57685.99	57161.86	57510.84	2542.119404	2021-04-07 01:00:00	57659.3026762718	58314.361999999994	78.70351859990478	-20.75596388480677	99.45948248471156	-655.0593237281937	24.5405928009592
66	1617760800000.0	57510.84	57926.82	57475.86	57784.7	1604.510184	2021-04-07 02:00:00	57722.0013381359	58273.74959999999	83.65051610808587	-13.941928544235177	97.59244465232105	-551.7482618640861	25.13138799843263
67	1617764400000.0	57784.7	58124.75	57677.68	57922.75	1594.895156	2021-04-07 03:00:00	57822.37566906795	58240.8488	83.16946945113887	-7.608742476068331	90.7782119272072	-418.47313093204866	24.96433561416929
68	1617768000000.0	57922.74	57975.73	57268.0	57645.61	2883.869038	2021-04-07 04:00:00	57733.99283453397	58202.32519999999	90.61414602966397	-1.2075477719606855	91.82169380162466	-468.33236546601984	25.63411667582659
